City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Maragogi,BR,71.38,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
236,Marsassoum,SN,75.87,scattered clouds,12.8275,-15.9806,Djinoubor keur Samba ba
238,Mushie,CD,72.57,scattered clouds,-3.0167,16.9,
239,Victoria,HK,84.33,light rain,22.2855,114.1577,Mini Central
240,Manokwari,ID,82.72,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
241,Sao Filipe,CV,79.09,light rain,14.8961,-24.4956,Hotel Xaguate
243,Rosarito,MX,76.66,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
244,Linjiang,CN,84.52,clear sky,41.8069,126.9078,格林豪泰
246,Sovetskiy,RU,71.44,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
248,Sorong,ID,83.26,broken clouds,-0.8833,131.25,Waigo Splash Hotel
249,Jizan,SA,86.94,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
253,Hurghada,EG,88.29,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
254,Tomatlan,MX,76.41,broken clouds,19.9333,-105.25,El Salvial
255,Jati,PK,85.73,overcast clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
258,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
259,Rostovka,RU,75.24,broken clouds,55.3842,71.8891,
260,Tura,IN,83.26,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
261,Saint George,US,83.95,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
264,Meulaboh,ID,84.72,overcast clouds,4.1363,96.1285,Kost Pria
266,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
271,Yaan,NG,72.09,overcast clouds,7.3833,8.5667,
280,Tual,ID,79.61,light rain,-5.6667,132.75,Grand Vilia Hotel
287,Dovers,VC,81.43,broken clouds,12.8833,-61.1833,Ocean Breeze
288,Barcelos,PT,72.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
289,Price,US,77.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
291,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
292,Nyurba,RU,70.45,few clouds,63.2842,118.3319,"Гостиница ""Comfort"""
294,Laguna,US,73.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
295,Naze,JP,88.72,few clouds,28.3667,129.4833,Shishime Hotel
296,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
298,Kiunga,PG,81.72,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
301,Benevento,IT,72.46,broken clouds,41.2179,14.7464,Bed and breakfast “P’a Carrera”
304,Kyren,RU,71.29,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
305,Dong Hoi,VN,88.74,light rain,17.4833,106.6,Nam Long Hotel
307,Mayo,US,80.55,few clouds,38.8876,-76.5119,Resorts Resource Group International
308,Raymondville,US,80.71,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
311,Hobyo,SO,79.11,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
312,Kilindoni,TZ,76.35,overcast clouds,-7.9139,39.6668,Bustani B&B
314,Moerai,PF,71.78,clear sky,-22.4333,-151.3333,Le Manotel
315,Kalmunai,LK,89.1,overcast clouds,7.4167,81.8167,VS Villa
317,Parker,US,80.35,overcast clouds,32.7668,-97.8003,Woodland Suites
318,Bonthe,SL,75.58,light rain,7.5264,-12.505,Bonthe Holiday Village
324,Dhidhdhoo,MV,81.03,overcast clouds,6.8833,73.1,Dhidhoo beach
325,Liberal,US,71.74,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
329,Laem Sing,TH,84.54,light rain,12.4816,102.0738,Laemsing Whitehouse Resort
331,Sabratah,LY,80.04,clear sky,32.7933,12.4885,محمد علي شويه
332,Staromyshastovskaya,RU,77.09,clear sky,45.3433,39.0761,Gostinitsa
336,Basoko,CD,72.25,broken clouds,1.2391,23.616,Jackyna Hotel
337,Mabaruma,GY,74.01,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
340,Bengkulu,ID,83.43,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
349,Ahuimanu,US,82.11,clear sky,21.4447,-157.8378,Paradise Bay Resort
351,Uray,RU,72.34,overcast clouds,60.1247,64.7758,Hotel Pioner
352,Gat,IL,79.48,few clouds,31.61,34.7642,OlusHome
353,Ridgecrest,US,89.46,scattered clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
354,Krasnokholmskiy,RU,73.38,overcast clouds,55.9873,55.0466,
355,Poronaysk,RU,74.35,clear sky,49.2167,143.1167,Avtovokzal Khostel Stolovaya
358,Washington,US,79.57,broken clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
359,Manadhoo,MV,80.94,overcast clouds,5.7667,73.3833,Bon Abri maldives
361,Salmo,CA,78.08,overcast clouds,49.1999,-117.2689,Reno Motel
362,Darhan,MN,74.82,scattered clouds,49.4867,105.9228,Buudai Hotel
365,Monrovia,LR,75.33,light rain,6.3005,-10.7969,Sunset Inn
367,Paka,MY,89.53,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
369,Tahta,EG,86.74,clear sky,26.7693,31.5021,فندق الزيات
374,Bambanglipuro,ID,81.57,broken clouds,-7.95,110.2833,Puri Brata
375,Zhanaozen,KZ,85.1,broken clouds,43.3,52.8,K.korabay 28A
377,Namatanai,PG,83.35,light rain,-3.6667,152.4333,Seagulls Inn Namatani
378,Lahaina,US,80.6,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
381,Kandrian,PG,77.85,light rain,-6.2167,149.55,Kandrian Station
383,La Troncal,EC,71.78,broken clouds,-2.4,-79.3333,TRONCAL INN
385,Itacoatiara,BR,75.78,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
388,Ust-Nera,RU,75.09,overcast clouds,64.5667,143.2,Hotel Ust-Nera
389,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
