City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
127,Papara,21,BR,2022-08-08 03:47:15,95,-3.9839,-38.7273,79.2,4.85
128,Port Macquarie,27,AU,2022-08-08 03:43:26,69,-31.4333,152.9167,60.89,15.35
129,Tanout,98,NE,2022-08-08 03:47:16,61,14.9709,8.8879,83.17,15.82
130,Moose Factory,0,CA,2022-08-08 03:47:16,76,51.2585,-80.6094,55.38,5.75
131,Albany,0,US,2022-08-08 03:46:59,88,42.6001,-73.9662,77.41,3.04
132,Orillia,89,CA,2022-08-08 03:47:17,96,44.6087,-79.4207,73.9,2.3
133,Los Llanos De Aridane,75,ES,2022-08-08 03:47:17,83,28.6585,-17.9182,67.75,13.8
134,Lillesand,9,NO,2022-08-08 03:47:17,93,58.2488,8.3778,55.89,0.0
135,East London,75,ZA,2022-08-08 03:47:18,100,-33.0153,27.9116,58.14,33.38
136,Dingle,94,PH,2022-08-08 03:44:37,75,10.9995,122.6711,83.86,4.94
137,Galveston,40,US,2022-08-08 03:47:18,84,29.3669,-94.9669,85.96,9.22
138,Akureyri,75,IS,2022-08-08 03:47:19,66,65.6835,-18.0878,51.73,11.5
139,Port Elizabeth,20,ZA,2022-08-08 03:47:19,99,-33.918,25.5701,59.09,11.5
140,Harda,100,IN,2022-08-08 03:47:19,84,22.3333,77.1,81.64,4.72
141,Khategaon,100,IN,2022-08-08 03:48:20,78,22.6,76.9167,82.81,1.32
142,West Chester,40,US,2022-08-08 03:45:02,85,39.9607,-75.6055,81.32,7.0
143,San Patricio,93,US,2022-08-08 03:48:21,73,28.017,-97.5169,84.88,12.24
144,De-Kastri,100,RU,2022-08-08 03:48:21,99,51.4667,140.7833,61.43,11.68
145,Yulara,5,AU,2022-08-08 03:48:22,20,-25.2406,130.9889,70.86,15.64
146,Bethel,20,US,2022-08-08 03:48:22,88,41.3712,-73.414,80.96,0.0
147,Vegachi,78,CO,2022-08-08 03:48:22,99,6.7614,-74.7947,64.8,3.27
148,Basoko,40,CD,2022-08-08 03:48:23,94,1.2391,23.616,70.23,3.36
149,Kargil,21,IN,2022-08-08 03:48:23,48,34.5667,76.1,63.73,3.8
150,Puerto Baquerizo Moreno,57,EC,2022-08-08 03:48:23,79,-0.9,-89.6,68.4,11.54
151,Valdosta,0,US,2022-08-08 03:44:12,94,30.8327,-83.2785,73.35,0.0
152,Tiznit,0,MA,2022-08-08 03:48:24,42,29.5833,-9.5,72.84,3.67
153,Lagoa,18,PT,2022-08-08 03:48:24,81,39.05,-27.9833,73.2,16.98
154,Colac,4,AU,2022-08-08 03:48:25,48,-38.3333,143.5833,50.83,3.91
155,Dom Pedrito,100,BR,2022-08-08 03:48:25,86,-30.9828,-54.6731,50.43,12.46
156,Kahului,20,US,2022-08-08 03:44:13,59,20.8947,-156.47,89.62,19.57
157,Nome,100,US,2022-08-08 03:48:26,77,64.5011,-165.4064,51.87,16.11
158,Broken Hill,1,AU,2022-08-08 03:44:16,35,-31.95,141.4333,59.7,2.8
159,Vila Velha,20,BR,2022-08-08 03:48:26,89,-20.3297,-40.2925,75.15,6.91
160,Macrohon,66,PH,2022-08-08 03:48:26,69,10.0797,124.9431,83.41,2.82
161,Faanui,75,PF,2022-08-08 03:48:27,69,-16.4833,-151.75,76.41,26.22
162,Bathsheba,75,BB,2022-08-08 03:48:27,97,13.2167,-59.5167,81.21,19.57
163,Lazaro Cardenas,84,MX,2022-08-08 03:48:27,81,17.9583,-102.2,79.45,5.55
164,Tondano,100,ID,2022-08-08 03:48:28,79,1.3038,124.9112,77.09,0.51
165,Talnakh,100,RU,2022-08-08 03:48:28,92,69.4865,88.3972,58.21,5.57
166,Gimli,1,CA,2022-08-08 03:44:06,66,50.6336,-96.9907,61.52,11.3
167,Ancud,5,CL,2022-08-08 03:48:15,89,-41.8697,-73.8203,39.02,3.58
168,Jalu,0,LY,2022-08-08 03:48:28,67,29.0331,21.5482,77.11,8.41
169,Kidal,68,ML,2022-08-08 03:48:29,34,18.4411,1.4078,89.83,8.16
170,Castro,100,BR,2022-08-08 03:48:29,96,-24.7911,-50.0119,56.25,6.78
171,Ponta Do Sol,0,PT,2022-08-08 03:48:29,83,32.6667,-17.1,72.01,3.69
172,Vestmannaeyjar,66,IS,2022-08-08 03:48:30,82,63.4427,-20.2734,51.67,18.37
173,Mehran,0,IR,2022-08-08 03:48:30,15,33.1222,46.1646,102.94,7.47
174,Qaanaaq,7,GL,2022-08-08 03:48:30,54,77.484,-69.3632,36.97,7.58
175,Plettenberg Bay,99,ZA,2022-08-08 03:48:31,85,-34.0527,23.3716,58.95,7.63
176,Bilibino,56,RU,2022-08-08 03:44:12,41,68.0546,166.4372,54.23,6.08
177,Nabire,60,ID,2022-08-08 03:48:31,67,-3.3667,135.4833,85.01,4.29
