City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Mocuba,MZ,-16.8392,36.9856,65.86,79,0,3.09,clear sky
162,Zhenlai,CN,45.8495,123.2973,81.88,31,32,17.85,scattered clouds
163,Norman Wells,CA,65.282,-126.8329,57.24,88,100,19.57,overcast clouds
164,Ocos,GT,14.5094,-92.1933,75.38,82,100,10.45,overcast clouds
165,Oranjemund,NA,-28.55,16.4333,51.6,93,75,4.74,broken clouds
166,Guerrero Negro,MX,27.9769,-114.0611,73.99,75,64,10.31,broken clouds
167,Marshall,US,34.3834,-86.3333,74.91,95,0,0.0,clear sky
168,Wanaka,NZ,-44.7,169.15,34.16,76,22,2.91,few clouds
169,Muriti,TZ,-1.9833,32.9167,71.22,57,93,17.9,overcast clouds
170,Tautira,PF,-17.7333,-149.15,73.83,80,100,9.51,light rain
171,Alamos,MX,27.0167,-108.9333,71.51,89,100,3.65,overcast clouds
172,Ovalle,CL,-30.5983,-71.2003,59.86,31,89,0.89,overcast clouds
173,Chokurdakh,RU,70.6333,147.9167,67.41,40,2,9.95,clear sky
174,Naruto,JP,34.1833,134.6167,89.58,70,75,14.97,broken clouds
175,Nikolsk,RU,53.7189,46.0712,72.19,62,56,2.24,broken clouds
176,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,2.3,fog
177,Skibbereen,IE,51.55,-9.2667,57.31,69,0,5.53,clear sky
178,Lebu,CL,-37.6167,-73.65,47.28,80,100,8.3,overcast clouds
179,Mitsamiouli,KM,-11.3847,43.2844,76.26,70,19,5.39,few clouds
180,Jinchang,CN,38.4953,102.1739,80.89,54,45,7.65,scattered clouds
181,Komsomolskiy,UZ,40.4272,71.7189,86.72,25,34,9.22,scattered clouds
182,Trofors,NO,65.5333,13.4063,55.27,96,100,12.06,light rain
183,Ilulissat,GL,69.2167,-51.1,39.22,93,100,8.05,overcast clouds
184,Ulaangom,MN,49.9811,92.0667,76.77,40,8,8.59,clear sky
185,Leshukonskoye,RU,64.8989,45.7622,62.94,56,26,3.02,scattered clouds
186,Dutse,NG,11.7594,9.3392,73.04,82,4,7.76,clear sky
187,Jacareacanga,BR,-6.2222,-57.7528,78.66,59,79,0.94,broken clouds
188,Ocala,US,29.1872,-82.1401,79.05,71,20,4.61,few clouds
189,Saint-Pierre,RE,-21.3393,55.4781,69.91,60,0,27.63,clear sky
190,Klaksvik,FO,62.2266,-6.589,54.52,96,100,27.89,overcast clouds
191,Lukhovitsy,RU,54.9728,39.0361,60.71,97,100,5.01,overcast clouds
192,Nizhniy Bestyakh,RU,61.9594,129.9086,78.28,50,0,6.71,clear sky
193,Loanda,AO,-8.8368,13.2343,66.2,94,40,5.75,scattered clouds
194,Barrow,US,71.2906,-156.7887,41.02,87,100,17.27,light rain
195,Nazarovo,RU,56.0064,90.3914,74.52,49,7,5.19,clear sky
196,Ribeira Grande,PT,38.5167,-28.7,73.13,78,20,3.04,few clouds
197,Yulara,AU,-25.2406,130.9889,55.08,76,100,10.74,overcast clouds
198,Sicamous,CA,50.8331,-118.9856,76.66,46,92,4.03,overcast clouds
199,Aykhal,RU,66.0,111.5,64.47,61,100,10.42,overcast clouds
200,Lompoc,US,34.6391,-120.4579,65.01,88,0,6.91,clear sky
201,Mecca,SA,21.4267,39.8261,89.51,50,79,2.75,broken clouds
202,Grindavik,IS,63.8424,-22.4338,49.95,93,100,18.41,light intensity drizzle
203,Antalaha,MG,-14.9003,50.2788,70.84,75,39,8.97,scattered clouds
204,Kulhudhuffushi,MV,6.6221,73.07,81.14,80,88,13.22,overcast clouds
205,Asau,RO,46.4333,26.4,61.72,97,100,4.79,overcast clouds
206,Tiksi,RU,71.6872,128.8694,59.59,53,44,10.78,scattered clouds
207,Salta,AR,-24.7859,-65.4117,39.58,86,0,4.61,clear sky
208,Alpinopolis,BR,-20.8636,-46.3881,62.82,80,100,5.32,heavy intensity rain
209,Nanortalik,GL,60.1432,-45.2371,41.86,91,91,13.04,overcast clouds
210,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.47,90,82,1.54,broken clouds
211,Hami,CN,42.8,93.45,99.5,15,2,6.2,clear sky
212,Zeerust,ZA,-25.5369,26.0751,49.03,43,0,4.12,clear sky
213,Sambava,MG,-14.2667,50.1667,71.13,73,55,13.53,broken clouds
214,Vryburg,ZA,-26.9566,24.7284,49.69,43,0,4.09,clear sky
215,Port Hedland,AU,-20.3167,118.5667,71.65,33,100,14.97,overcast clouds
216,Airai,TL,-8.9266,125.4092,72.88,51,38,4.94,scattered clouds
217,Jogbani,IN,26.4167,87.25,87.89,64,99,23.29,overcast clouds
218,Kavaratti,IN,10.5669,72.642,80.74,82,99,21.56,overcast clouds
219,Lapua,FI,62.9693,23.0088,60.12,78,100,7.27,overcast clouds
220,Matai,TZ,-8.3,31.5167,56.12,61,4,3.42,clear sky
221,Auki,SB,-8.7676,160.7034,81.39,78,68,3.4,light rain
222,Abu Kamal,SY,34.4506,40.9171,84.11,41,0,14.54,clear sky
223,General Roca,AR,-39.0333,-67.5833,41.63,67,100,8.14,overcast clouds
224,Avarua,CK,-21.2078,-159.775,73.45,73,75,6.91,broken clouds
225,Oussouye,SN,12.485,-16.5469,78.04,90,69,5.46,broken clouds
226,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.0,84,11,5.68,few clouds
227,Santo Estevao,BR,-12.4303,-39.2514,61.0,96,6,2.66,clear sky
228,Sibolga,ID,1.7427,98.7792,85.87,61,100,4.68,overcast clouds
229,Abnub,EG,27.2696,31.1511,85.41,41,0,13.53,clear sky
230,Sfantu Gheorghe,RO,45.8667,25.7833,66.27,91,84,2.04,broken clouds
231,Davidson,US,36.1501,-86.7833,75.92,86,75,5.75,broken clouds
232,Bandarbeyla,SO,9.4942,50.8122,83.59,56,93,29.15,overcast clouds
233,Avanigadda,IN,16.0215,80.9181,87.98,55,95,17.65,overcast clouds
234,Kodiak,US,57.79,-152.4072,54.91,94,100,4.61,light rain
235,Maragogi,BR,-9.0122,-35.2225,71.38,85,18,4.7,few clouds
236,Marsassoum,SN,12.8275,-15.9806,75.87,96,29,4.72,scattered clouds
237,Severo-Kurilsk,RU,50.6789,156.125,55.72,98,100,14.03,overcast clouds
238,Mushie,CD,-3.0167,16.9,72.57,49,28,3.49,scattered clouds
239,Victoria,HK,22.2855,114.1577,84.33,91,100,17.0,light rain
240,Manokwari,ID,-0.8667,134.0833,82.72,73,67,11.5,broken clouds
241,Sao Filipe,CV,14.8961,-24.4956,79.09,87,89,0.76,light rain
242,Do Gonbadan,IR,30.3586,50.7981,96.89,36,20,0.0,few clouds
243,Rosarito,MX,32.3333,-117.0333,76.66,73,92,4.03,overcast clouds
244,Linjiang,CN,41.8069,126.9078,84.52,34,8,6.93,clear sky
245,Patacamaya,BO,-17.2333,-67.9167,38.34,87,6,5.21,clear sky
246,Sovetskiy,RU,61.3614,63.5842,71.44,51,100,5.84,overcast clouds
247,Talnakh,RU,69.4865,88.3972,51.21,61,76,12.53,broken clouds
248,Sorong,ID,-0.8833,131.25,83.26,75,59,4.56,broken clouds
249,Jizan,SA,17.3333,42.6667,86.94,68,81,2.39,broken clouds
250,Mehran,IR,33.1222,46.1646,101.16,13,0,20.24,clear sky
251,Vestmannaeyjar,IS,63.4427,-20.2734,51.71,91,100,21.81,overcast clouds
252,Floro,NO,61.5996,5.0328,62.96,88,75,21.85,broken clouds
253,Hurghada,EG,27.2574,33.8129,88.29,41,0,26.13,clear sky
254,Tomatlan,MX,19.9333,-105.25,76.41,91,63,2.48,broken clouds
255,Jati,PK,24.3539,68.2671,85.73,76,100,4.36,overcast clouds
256,Necochea,AR,-38.5473,-58.7368,42.01,72,48,9.31,scattered clouds
257,Sept-Iles,CA,50.2001,-66.3821,53.6,80,0,4.61,clear sky
258,Nhulunbuy,AU,-12.2333,136.7667,84.81,61,75,13.8,broken clouds
259,Rostovka,RU,55.3842,71.8891,75.24,51,67,10.27,broken clouds
260,Tura,IN,25.5198,90.2201,83.26,68,100,7.65,overcast clouds
261,Saint George,US,37.1041,-113.5841,83.95,48,20,6.91,few clouds
262,Zhigansk,RU,66.7697,123.3711,67.51,52,6,10.87,clear sky
263,Cidreira,BR,-30.1811,-50.2056,55.04,87,100,12.55,moderate rain
264,Meulaboh,ID,4.1363,96.1285,84.72,65,98,4.0,overcast clouds
265,Moron,AR,-34.6534,-58.6198,51.55,74,2,5.68,clear sky
266,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,12.66,few clouds
267,Saint-Joseph,RE,-21.3667,55.6167,68.38,73,67,18.19,broken clouds
268,Ileza,RU,61.0533,43.9002,58.6,78,85,2.95,overcast clouds
269,Mosquera,CO,4.7059,-74.2302,53.69,87,75,4.61,broken clouds
270,Chimoio,MZ,-19.1164,33.4833,62.46,94,75,2.17,mist
271,Yaan,NG,7.3833,8.5667,72.09,95,100,5.55,overcast clouds
272,Trebon,CZ,49.0036,14.7707,59.58,82,79,0.38,broken clouds
273,La Rioja,ES,42.25,-2.5,56.98,58,2,6.15,clear sky
274,Concarneau,FR,47.875,-3.9225,66.49,76,0,11.05,clear sky
275,Sorland,NO,67.667,12.6934,55.26,96,100,29.86,light rain
276,Churapcha,RU,62.0025,132.4325,66.7,63,100,4.54,overcast clouds
277,Santiago Del Estero,AR,-27.7951,-64.2615,45.07,76,0,6.31,clear sky
278,Farafangana,MG,-22.8167,47.8333,69.04,73,100,13.35,overcast clouds
279,Hasaki,JP,35.7333,140.8333,93.6,79,85,24.61,overcast clouds
280,Tual,ID,-5.6667,132.75,79.61,77,100,9.91,light rain
281,Leh,IN,34.1667,77.5833,68.74,45,20,6.11,few clouds
282,Oksfjord,NO,70.2396,22.3479,55.58,85,95,7.87,overcast clouds
283,Nome,US,64.5011,-165.4064,50.16,81,40,12.66,scattered clouds
284,Kyzyl-Suu,KG,42.3414,78.0056,69.4,58,67,6.55,broken clouds
285,Shipitsyno,RU,61.2806,46.5208,62.94,58,88,3.27,overcast clouds
286,Lavrentiya,RU,65.5833,-171.0,49.75,66,94,9.89,overcast clouds
287,Dovers,VC,12.8833,-61.1833,81.43,80,61,19.19,broken clouds
288,Barcelos,PT,41.5388,-8.6151,72.91,88,0,0.69,clear sky
289,Price,US,39.5994,-110.8107,77.11,23,0,5.75,clear sky
290,Faya,SA,18.3851,42.4509,68.52,73,98,7.58,overcast clouds
291,San Andres,CO,12.5847,-81.7006,82.42,89,75,9.22,broken clouds
292,Nyurba,RU,63.2842,118.3319,70.45,47,21,5.5,few clouds
293,Olafsvik,IS,64.8945,-23.7142,48.38,91,100,17.74,overcast clouds
294,Laguna,US,38.421,-121.4238,73.31,64,0,10.36,clear sky
295,Naze,JP,28.3667,129.4833,88.72,70,24,7.56,few clouds
296,San Patricio,US,28.017,-97.5169,84.88,72,10,10.78,clear sky
297,Saint-Leu,RE,-21.15,55.2833,69.31,67,39,12.8,scattered clouds
298,Kiunga,PG,-6.1219,141.2906,81.72,83,99,3.49,overcast clouds
299,College,US,64.8569,-147.8028,55.38,69,40,5.75,scattered clouds
300,Nemuro,JP,43.3236,145.575,65.57,99,100,10.69,overcast clouds
301,Benevento,IT,41.2179,14.7464,72.46,83,67,4.25,broken clouds
302,Abapo,BO,-18.8333,-63.4667,43.32,81,6,3.53,clear sky
303,Giraltovce,SK,49.114,21.5173,64.58,77,5,7.76,clear sky
304,Kyren,RU,51.6828,102.1408,71.29,57,95,4.07,overcast clouds
305,Dong Hoi,VN,17.4833,106.6,88.74,60,100,7.05,light rain
306,Talara,PE,-4.5772,-81.2719,63.45,87,47,13.6,scattered clouds
307,Mayo,US,38.8876,-76.5119,80.55,89,20,0.0,few clouds
308,Raymondville,US,26.4815,-97.7831,80.71,72,7,10.67,clear sky
309,Caravelas,BR,-17.7125,-39.2481,68.77,87,23,6.31,few clouds
310,Formosa,AR,-26.1775,-58.1781,51.78,93,20,10.36,few clouds
311,Hobyo,SO,5.3505,48.5268,79.11,77,96,24.96,overcast clouds
312,Kilindoni,TZ,-7.9139,39.6668,76.35,69,87,10.58,overcast clouds
313,Atar,MR,20.5169,-13.0499,90.34,13,57,13.38,broken clouds
314,Moerai,PF,-22.4333,-151.3333,71.78,76,5,15.64,clear sky
315,Kalmunai,LK,7.4167,81.8167,89.1,43,99,2.57,overcast clouds
316,Doha,QA,25.2867,51.5333,98.58,48,79,5.75,broken clouds
317,Parker,US,32.7668,-97.8003,80.35,68,97,1.01,overcast clouds
318,Bonthe,SL,7.5264,-12.505,75.58,90,100,6.55,light rain
319,Puke,AL,42.0444,19.8997,63.48,70,14,9.08,few clouds
320,Aasiaat,GL,68.7098,-52.8699,36.68,98,100,8.23,light rain
321,Nikolskoye,RU,59.7035,30.7861,61.81,62,38,1.59,scattered clouds
